Distributor_Country,Distributor_ExternalCode,Distributor_AccountName,Sales_Channel,Target_Date,Month,Year,Total_Active_Stores,Invoiced_Stores,Target_Value,Performance_Result_%
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Mayoristas,01/2016,01,2016,36,36,100,100.00
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Mayoristas,02/2016,02,2016,36,36,100,100.00
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Mayoristas,03/2016,03,2016,36,34,100,94.44
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Mayoristas,04/2016,04,2016,36,27,100,75.00
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Tradicionales,01/2016,01,2016,4479,2688,100,60.01
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Tradicionales,02/2016,02,2016,4373,2673,100,61.13
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Tradicionales,03/2016,03,2016,4383,2762,100,63.02
El Salvador,DMS_ES_CHALTAMIRA,DT CHALTAMIRA,Tradicionales,04/2016,04,2016,4385,1538,100,35.07
El Salvador,DMS_ES_EXITO,ÉXITO,Mayoristas,01/2016,01,2016,92,91,100,98.91
El Salvador,DMS_ES_EXITO,ÉXITO,Mayoristas,02/2016,02,2016,92,86,100,93.48
El Salvador,DMS_ES_EXITO,ÉXITO,Mayoristas,03/2016,03,2016,93,76,100,81.72
El Salvador,DMS_ES_EXITO,ÉXITO,Mayoristas,04/2016,04,2016,93,26,100,27.96
El Salvador,DMS_ES_EXITO,ÉXITO,Mercados Plazas,01/2016,01,2016,94,87,100,92.55
El Salvador,DMS_ES_EXITO,ÉXITO,Mercados Plazas,02/2016,02,2016,94,81,100,86.17
El Salvador,DMS_ES_EXITO,ÉXITO,Mercados Plazas,03/2016,03,2016,94,78,100,82.98
El Salvador,DMS_ES_EXITO,ÉXITO,Mercados Plazas,04/2016,04,2016,94,27,100,28.72
El Salvador,DMS_ES_EXITO,ÉXITO,Superetes,01/2016,01,2016,25,25,100,100.00
El Salvador,DMS_ES_EXITO,ÉXITO,Superetes,02/2016,02,2016,25,20,100,80.00
El Salvador,DMS_ES_EXITO,ÉXITO,Superetes,03/2016,03,2016,25,21,100,84.00
El Salvador,DMS_ES_EXITO,ÉXITO,Superetes,04/2016,04,2016,25,4,100,16.00
El Salvador,DMS_ES_EXITO,ÉXITO,Tradicionales,01/2016,01,2016,3673,3002,100,81.73
El Salvador,DMS_ES_EXITO,ÉXITO,Tradicionales,02/2016,02,2016,3683,2883,100,78.28
El Salvador,DMS_ES_EXITO,ÉXITO,Tradicionales,03/2016,03,2016,3723,2893,100,77.71
El Salvador,DMS_ES_EXITO,ÉXITO,Tradicionales,04/2016,04,2016,3745,974,100,26.01
